CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
291-64-5,Cycloheptane,C1CCCCCC1,,4.82,2.52,2.16,2.33
110-82-7,Cyclohexane,C1CCCCC1,3.27,4.05,2.01,,
287-92-3,Cyclopentane,C1CCCC1,,3.5,,,
75-19-4,Cyclopropane,C1CC1,,1.73,,,
124-18-5,Decane,CCCCCCCCCC,,6.39,,,
74-95-3,Dibromethane,BrCBr,,1.76,,,
1975.9.2,Dichloromethane,ClCCl,,1.28,,,
60-29-7,Diethyl ether,CCOCC,,0.79,,,
1975.10.5,Difluoromethane,FCF,,0.53,,,
109-93-3,Divinyl ether,C=COC=C,,1.69,,,
74-84-0,Ethane,CC,,1.73,,,
64-17-5,Ethanol,CCO,-0.26,-1.14,,,
74-85-1,Ethene,C=C,,0.84,,,
141-78-6,Ethyl acetate,CCOC(C)=O,0.46,0.46,,,
637-92-3,Ethyl tert-butyl ether,CCOC(C)(C)C,,1.37,,,
919-94-8,Ethyl tert-pentyl ether,CCOC(C)(C)CC,,1.93,,,
100-41-4,Ethylbenzene,CCc1ccccc1,,3.14,2.7,,
462-06-6,Fluorobenzene,Fc1ccccc1,,2.41,,,
353-36-6,Fluoroethane,CCF,,0.62,,,
593-70-4,Fluorochloromethane,FCCl,,0.77,,,
142-82-5,Heptane,CCCCCCC,4.55,4.71,3.59,,
392-56-3,Hexafluorobenzene,Fc1c(F)c(F)c(F)c(F)c1F,,2.45,1.55,,
110-54-3,Hexane,CCCCCC,3.91,4.11,3.09,,
110-19-0,Isobutyl acetate,CC(=O)OCC(C)C,,1.6,,,
123-92-2,Isopentyl acetate,CC(=O)OCCC(C)C,,2.11,,,
108-21-4,Isopropyl acetate,CC(=O)OC(C)C,,1.02,,,
98-82-8,Isopropylbenzene,CC(C)c1ccccc1,,3.52,,,
76-38-0,Methoxyflurane,COC(F)(F)C(Cl)Cl,,2.11,1.77,,
74-82-8,Methane,C,,0.75,,,
67-56-1,Methanol,CO,-0.53,-1.95,,,
79-20-9,Methyl acetate,COC(C)=O,,-0.02,,,
74-87-3,Methyl chloride,CCl,,0.8,,,
96-37-7,Methylcyclopentane,CC1CCCC1,,4,,,
771-56-2,Methylpentafluorobenzene,Cc1c(F)c(F)c(F)c(F)c1F,,3.27,2.32,,
100-80-1,m-Methylstyrene,C=Cc1cccc(C)c1,,3.23,,,
108-38-3,m-Xylene,Cc1cccc(C)c1,,3.16,,,
111-84-2,Nonane,CCCCCCCCC,,5.82,4.45,3.86,3.68
95-47-6,o-Xylene,Cc1ccccc1C,,3.12,,,
106-42-3,p-Xylene,Cc1ccc(C)cc1,2.98,3.16,,,
1976.1.7,Pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,,2.93,,,
363-72-4,Pentafluorobenzene,Fc1cc(F)c(F)c(F)c1F,,2.31,,,
109-66-0,Pentane,CCCCC,,3.49,,,
628-63-7,Pentyl acetate,CCCCCOC(C)=O,,2.11,,,
622-97-9,p-Methylstyrene,C=Cc1ccc(C)cc1,,3.21,,,
74-98-6,Propane,CCC,,2.35,,,
109-60-4,Propyl acetate,CCCOC(C)=O,1.01,1.02,,,
103-65-1,Propylbenzene,CCCc1ccccc1,,3.65,2.95,1.98,1.95
127-18-4,Tetrachloroethene,ClC(Cl)=C(Cl)Cl,3.08,3.57,2.4,,
108-88-3,Toluene,Cc1ccccc1,,2.67,2.26,,
156-60-5,"trans-1,2-Dichloroethene",Cl/C=C/Cl,,2.06,,,
1979.1.6,Trichloroethene,ClC=C(Cl)Cl,2.43,2.8,1.88,,
629-50-5,tridecane,CCCCCCCCCCCCC,,8.16,,,
121-44-8,triethylamine,CCN(CC)CC,,1.04,,,
1120-21-4,undecane,CCCCCCCCCCC,,7.03,,,
7785-26-4,alpha-pinene,CC1=CCC2CC1C2(C)C,,4.58,,,
110-71-4,"1,2-dimethoxyethane",COCCOC,,-0.33,,,
123-91-1,"1,4-dioxane",C1COCCO1,,-0.24,,,
111-70-6,1-heptanol,CCCCCCCO,2.38,1.84,2.18,,
109-06-8,2-methylpyridine,Cc1ccccn1,,0.61,,,
108-99-6,3-methylpyridine,Cc1cccnc1,,0.84,,,
108-89-4,4-methylpyridine,Cc1ccncc1,,0.82,,,
100-51-6,benzyl alcohol,OCc1ccccc1,1.14,0.12,,,
108-86-1,bromobenzene,Brc1ccccc1,,3.27,,,
592-84-7,butyl formate,CCCCOC=O,,1.46,,,
590-01-2,butyl propanoate,CCCCOC(=O)CC,,2.35,,,
104-51-8,butylbenzene,CCCCc1ccccc1,,4.13,,,
359-10-4,"1,1-difluoro-2-chloroethene",FC(F)=CCl,,1.63,,,
75-88-7,"1-chloro-2,2,2-
trifluoroethane",FC(F)(F)CCl,,1.34,,,
333-36-8,"bis-(2,2,2-
trifluoroethyl)ether",FC(F)(F)COCC(F)(F)F,,1.92,,,
110-83-8,cyclohexene,C1=CCCCC1,,3.33,,,
120-92-3,cyclopentanone,O=C1CCCC1,0.3,0.39,,,
75-45-6,difluorochloromethane,FC(F)Cl,,0.72,,,
108-20-3,diisopropyl ether,CC(C)OC(C)C,,1.29,,,
109-87-5,dimethoxymethane,COCOC,,0.18,,,
115-10-6,dimethyl ether,COC,,0.13,,,
127-19-5,dimethylacetamide,CC(=O)N(C)C,,-1.25,,,
1968.12.2,dimethylformamide,CN(C)C=O,,-1.57,,,
142-96-1,di-n-butyl ether,CCCCOCCCC,2.78,3.14,2.01,1.72,1.52
112-40-3,dodecane,CCCCCCCCCCCC,,7.59,,,
109-94-4,ethyl formate,CCOC=O,,0.16,,,
105-37-3,ethyl propanoate,CCOC(=O)CC,,1.13,,,
1975.3.6,iodoethane,CCI,,1.85,,,
75-69-4,fluorotrichloromethane,FC(Cl)(Cl)Cl,,2.28,,,
107-31-3,methyl formate,COC=O,,-0.48,,,
108-87-2,methylcyclohexane,CC1CCCCC1,,4.54,,,
79-24-3,nitroethane,CC[N+](=O)[O-],,0.45,,,
75-52-5,nitromethane,C[N+](=O)[O-],,-0.02,,,
121-69-7,"N,N-dimethylaniline",CN(C)c1ccccc1,2.33,2.29,,,
629-62-9,pentadecane,CCCCCCCCCCCCCCC,,9.31,,,
110-89-4,piperidine,C1CCNCC1,,1.01,,,
106-94-5,propyl bromide,CCCBr,,2.47,,,
110-74-7,propyl formate,CCCOC=O,,0.87,,,
110-86-1,pyridine,c1ccncc1,,0.15,,,
629-59-4,tetradecane,CCCCCCCCCCCCCC,,8.74,,,
109-99-9,tetrahydrofuran,C1CCOC1,,0.62,,,
679-84-5,halopropane,FC(F)(F)C(F)(Cl)Br,,2.91,,,
56885-28-0,CF3CHFOCHFCl,FC(Cl)OC(F)C(F)(F)F,,2.15,,,
292-64-8,Cyclooctane,C1CCCCCCC1,,5.34,2.98,2.94,2.82
111-87-5,Octan-1-ol,CCCCCCCCO,2.66,2.46,2.74,1.42,1.55
143-08-8,Nonan-1-ol,CCCCCCCCCO,,3.01,3.1,1.97,1.99
66-25-1,Hexanal,CCCCCC=O,,1.92,,,
111-71-7,Heptanal,CCCCCCC=O,,2.46,,,
124-13-0,Octanal,CCCCCCCC=O,,3.01,,,
124-19-6,"Nonanal / n-Nonyl
Aldehyde",CCCCCCCCC=O,,3.42,,,
629-06-1,1-Chloroheptane,CCCCCCCCl,,4.37,,,
111-85-3,1-Chlorooctane,CCCCCCCCCl,,4.95,3.85,2.93,2.88
592-41-6,1-Hexene,C=CCCCC,,3.51,,,
592-76-7,1-Heptene,C=CCCCCC,,4.04,,,
111-66-0,1-Octene,C=CCCCCCC,,4.6,,,
124-11-8,1-Nonene,C=CCCCCCCC,,5.15,4.22,3.54,3.52
872-05-9,1-Decene,C=CCCCCCCCC,,5.64,,,
