CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
215-58-7,"dibenz[a,c]anthracene",c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,7.49,,,,
2270-20-4,5-phenylvaleric acid,O=C(O)CCCCc1ccccc1,3.06,,,,
27522-11-8,2-ethyl-1-pentanol,CCCC(CC)CO,1.81,,,,
3031-66-1,"3-hexyn-2,5-diol",CC(O)C#CC(C)O,-0.22,,,,
3481-20-7,"2,3,5,6-tetrachloroaniline",Nc1c(Cl)c(Cl)cc(Cl)c1Cl,4.6,,,,
35693-99-3,"2,2',5,5'-tetrachlorobiphenyl (PCB 52)",Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,5.94,,,,
38411-22-2,"2,2',3,3',6,6'-hexachlorobiphenyl (PCB 136)",Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,6.5,,,,
4097-49-8,"4-tert-butyl-2,6-dinitrophenol",CC(C)(C)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,3.81,,,,
4099-71-2,"2-ethyl-4,6-dinitrophenol",CCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.02,,,,
42087-80-9,methyl-4-chloro-2-nitrobenzoate,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],2.45,,,,
42565-22-0,"trans-1,2-cyclooctanediol",O[C@@H]1CCCCCC[C@H]1O,1.11,,,,
4901-51-3,"2,3,4,5-tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.76,,,,
4938-52-7,1-hepten-3-ol,C=CC(O)CCCC,1.61,,,,
50-27-1,estriol,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1.96,,,,
502-41-0,cycloheptanol,OC1CCCCCC1,1.51,,,,
502-42-1,cycloheptanone,O=C1CCCCCC1,0.98,,,,
502-49-8,cyclooctanone,O=C1CCCCCCC1,1.4,,,,
504-02-9,"1,3-cyclohexanedione",O=C1CCCC(=O)C1,0.49,,,,
51-28-5,"2,4-dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,2.67,,,,
525-66-6,propranolol,CC(C)NCC(O)COc1cccc2ccccc12,3.32,,,,
527-20-8,pentachloroaniline,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.69,,,,
527-54-8,"3,4,5-trimethylphenol",Cc1cc(O)cc(C)c1C,2.66,,,,
53-70-3,"dibenz[a,h]anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,7.72,,,,
534-52-1,"2-methyl-4,6-dinitrophenol",Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.71,,,,
5343-92-0,"1,2-pentanediol",CCCC(O)CO,0.26,,,,
5372-81-6,dimethyl-2-amino-p-phthalate,COC(=O)c1ccc(C(=O)OC)c(N)c1,2.53,,,,
541-35-5,butyramide,CCCC(N)=O,-0.2,,,,
54910-89-3,fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.35,,,,
554-84-7,3-nitrophenol,O=[N+]([O-])c1cccc(O)c1,2.56,,,,
56-53-1,diethylstilbestrol,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.76,,,,
56-55-3,benzo[a]anthracene,c1ccc2cc3c(ccc4ccccc43)cc2c1,6.44,,,,
56-81-5,glycerol,OCC(O)CO,-1.04,,,,
56558-16-8,"2,2',4,6,6'-pentachlorobiphenyl (PCB 104)",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,6.13,,,,
57-63-6,17α-ethynylestradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.74,,,,
57-83-0,progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.28,,,,
573-56-8,"2,6-dinitrophenol",O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,2.03,,,,
576-26-1,"2,6-dimethylphenol",Cc1cccc(C)c1O,2.47,,,,
577-71-9,"3,4-dinitrophenol",O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],3.17,,,,
58-90-2,"2,3,4,6-tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.46,,,,
584-02-1,3-pentanol,CCC(O)CC,1,,,,
585-34-2,3-tert-butylphenol,CC(C)(C)c1cccc(O)c1,3.25,,,,
589-55-9,4-heptanol,CCCC(O)CCC,1.7,,,,
59-46-1,procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.38,,,,
59-50-7,4-chloro-3-methylphenol,Cc1cc(O)ccc1Cl,3.32,,,,
600-36-2,"2,4-dimethyl-3-pentanol",CC(C)C(O)C(C)C,1.71,,,,
60145-21-3,"2,2',4,5',6-pentachlorobiphenyl (PCB 103)",Clc1cc(Cl)c(-c2cc(Cl)ccc2Cl)c(Cl)c1,6.32,,,,
60145-23-5,"2,2',3,4,4',5,6'-heptachlorobiphenyl (PCB 182)",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,6.83,,,,
609-19-8,"3,4,5-trichlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1,4.71,,,,
609-93-8,"4-methyl-2,6-dinitrophenol",Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2.34,,,,
611-99-4,"4,4'-dihydroxybenzophenone",O=C(c1ccc(O)cc1)c1ccc(O)cc1,2.7,,,,
62-53-3,aniline,Nc1ccccc1,1.63,,,,
625-69-4,"2,4-pentanediol",CC(O)CC(C)O,-0.3,,,,
62796-65-0,"2,2',4,6-tetrachlorobiphenyl (PCB 50)",Clc1cc(Cl)c(-c2ccccc2Cl)c(Cl)c1,5.92,,,,
629-11-8,"1,6-hexanediol",OCCCCCCO,-0.1,,,,
629-30-1,"1,7-hexanediol",OCCCCCCCO,0.32,,,,
629-41-4,"1,8-octanediol",OCCCCCCCCO,0.81,,,,
634-90-2,"1,2,3,5-tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,4.77,,,,
636-30-6,"2,4,5-trichloroaniline",Nc1cc(Cl)c(Cl)cc1Cl,4.16,,,,
644-35-9,2-n-propylphenol,CCCc1ccccc1O,3.13,,,,
6639-30-1,"2,4,5-trichlorotoluene",Cc1cc(Cl)c(Cl)cc1Cl,4.72,,,,
69-72-7,salicylic acid,O=C(O)c1ccccc1O,2.55,,,,
6920-22-5,"1,2-hexanediol",CCCCC(O)CO,0.81,,,,
696-71-9,cyclooctanol,OC1CCCCCCC1,2.09,,,,
70362-49-1,"3,3',4,5-tetrachlorobiphenyl (PCB 78)",Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,6.53,,,,
739-71-9,trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.74,,,,
767-00-0,4-cyanophenol,N#Cc1ccc(O)cc1,2.11,,,,
80-46-6,4-tert-amylphenol,CCC(C)(C)c1ccc(O)cc1,3.54,,,,
81-81-2,warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.42,,,,
821-41-0,5-hexen-1-ol,C=CCCCCO,1.2,,,,
84-16-2,meso-hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,4.37,,,,
84-17-3,dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,5.08,,,,
84-66-2,diethylphthalate,CCOC(=O)c1ccccc1C(=O)OCC,1.77,,,,
85-68-7,butylbenzylphthalate,CCCCc1ccc(C(=O)[O-])c(C(=O)[O-])c1Cc1ccccc1,4.3,,,,
87-61-6,"1,2,3-trichlorobenzene",Clc1cccc(Cl)c1Cl,4.19,,,,
87-65-0,"2,6-dichlorophenol",Oc1c(Cl)cccc1Cl,2.86,,,,
87-86-5,pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.1,,,,
1988.5.1,"2,4,6-trimethylaniline",Cc1cc(C)c(N)c(C)c1,2.38,,,,
1988.6.2,"2,4,6-trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,3.8,,,,
88-18-6,2-tert-butylphenol,CC(C)(C)c1ccccc1O,3.51,,,,
88-75-5,2-nitrophenol,O=[N+]([O-])c1ccccc1O,1.89,,,,
88-85-7,"2-sec-butyl-4,6-dinitrophenol",CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.73,,,,
88150-42-9,amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,3.75,,,,
89-72-5,2-sec-butylphenol,CCC(C)c1ccccc1O,3.47,,,,
90-00-6,2-ethylphenol,CCc1ccccc1O,2.81,,,,
91-22-5,quinoline,c1ccc2ncccc2c1,1.67,,,,
92-69-3,4-phenylphenol,Oc1ccc(-c2ccccc2)cc1,3.52,,,,
928-40-5,"1,5-hexanediol",CC(O)CCCCO,-0.22,,,,
928-90-5,5-hexyn-1-ol,C#CCCCCO,0.78,,,,
928-95-0,trans-2-hexen-1-ol,CCC/C=C/CO,1.36,,,,
928-96-1,cis-3-hexen-1-ol,CC/C=C\CCO,1.2,,,,
928-97-2,trans-3-hexen-1-ol,CC/C=C/CCO,1.23,,,,
94-18-8,benzyl-4-hydroxybenzoate,O=C(OCc1ccccc1)c1ccc(O)cc1,3.75,,,,
94-24-6,tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.23,,,,
94-26-8,butyl-4-hydroxybenzoate,CCCCOC(=O)c1ccc(O)cc1,3.4,,,,
95-48-7,2-methylphenol,Cc1ccccc1O,2.45,,,,
95-57-8,2-chlorophenol,Oc1ccccc1Cl,2.76,,,,
95-64-7,"3,4-dimethylaniline",Cc1ccc(N)cc1C,2.11,,,,
95-77-2,"3,4-dichlorophenol",Oc1ccc(Cl)c(Cl)c1,3.76,,,,
95-95-4,"2,4,5-trichlorophenol",Oc1cc(Cl)c(Cl)cc1Cl,4.46,,,,
96-41-3,cyclopentanol,OC1CCCC1,0.52,,,,
98-17-9,3-trifluoromethylphenol,Oc1cccc(C(F)(F)F)c1,3.25,,,,
98-54-4,4-tert-butylphenol,CC(C)(C)c1ccc(O)cc1,3.48,,,,
1999.9.2,3-nitroaniline,Nc1cccc([N+](=O)[O-])c1,2.17,,,,
99-71-8,4-sec-butylphenol,CCC(C)c1ccc(O)cc1,3.26,,,,
99-89-8,4-isopropylphenol,CC(C)c1ccc(O)cc1,3.25,,,,
