spearman,pearson,absR2,calR2,rmse,n,pose_method,desolv_method
0.32118623239953614,0.4676130914020289,-0.6754225253497639,0.2186620032505624,1.1157181412741677,83,A,none
0.43876276659451524,0.35289550931864233,-24.818404989821,0.12453524049726394,4.379827681202573,83,A,GFN1/gbsa
0.4134261165476499,0.3832909851489475,-24.280379299327716,0.14691197929645083,4.333952153805415,83,A,GFN1/alpb
0.28370960539221945,0.28817263258214004,-25.483592993967836,0.08304346616932123,4.435890040730972,83,A,GFN2/gbsa
0.38434249712765656,0.35753080717515384,-30.30367620332208,0.12782827807931707,4.822697155517682,83,A,GFN2/alpb
0.2862915506745429,0.45652838988281264,-1.553364261269642,0.2084181707689935,1.377363935368807,83,B1,none
0.4209200552939058,0.34095090126240846,-29.406554947731635,0.11624751707164871,4.753088802874762,83,B1,GFN1/gbsa
0.3991309560821028,0.37101733120218083,-28.813066414104497,0.13765386005238878,4.706473778330962,83,B1,GFN1/alpb
0.2791754575793587,0.2769947326220498,-30.097158095331135,0.0767260819003609,4.806762566896381,83,B1,GFN2/gbsa
0.374046203135952,0.34793782396215817,-35.12625691445813,0.12106072934352186,5.180883214299242,83,B1,GFN2/alpb
0.18671872590461264,0.3927031880618448,-5.243594540780851,0.1542157939139368,2.1538212909083194,83,B2,none
0.3074194199969704,0.2633729769715766,-41.93825388450292,0.06936532499887049,5.6482577826169305,83,B2,GFN1/gbsa
0.2915813897895471,0.2966919448464311,-41.052612767742744,0.08802611013675776,5.589704013114614,83,B2,GFN1/alpb
0.1647197124422142,0.20299402623396906,-42.35401666514258,0.041206574686677544,5.675537397956684,83,B2,GFN2/gbsa
0.32727730810329575,0.2888437381937348,-47.63556574667996,0.08343070509373096,6.011312502549904,83,B2,GFN2/alpb
